tempo_us,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,angle,distance,intensity,tof_mm,flow_dx,flow_dy
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,1197,11328,168,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,4574,48113,2,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,7952,44019,109,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,11330,60418,109,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,14708,11348,14,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,18086,22286,0,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,21464,22517,87,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,24842,62208,166,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,28220,21504,4,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,31598,62209,247,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,34976,11504,183,90,0,0
11417907,117,-4115,15982,-2,-132,-157,-513,-3916,15985,-95,-552,-452,2354,59866,0,90,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11336,59944,36,92,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11403,59654,5,92,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11471,995,238,92,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11539,21700,44,92,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11607,63752,2,92,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11675,58012,109,92,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11743,62466,109,92,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11811,19837,148,92,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11879,43776,212,92,0,0
11526609,-52,-4313,15865,-12,-133,-158,-485,-3690,16109,-68,-573,-462,11947,135,96,92,0,0
