alvo,angle,distance,intensity
0.00,358.72,1713,241
0.00,359.51,1713,243
0.00,0.30,1713,242
0.00,1.09,1713,242
0.00,1.88,1713,243
90.00,88.02,1962,238
90.00,88.80,1947,235
90.00,89.58,1947,237
90.00,90.37,1962,235
90.00,91.14,1962,236
90.00,91.91,1947,237
180.00,179.69,1666,236
270.00,268.21,762,238
270.00,269.00,762,238
270.00,269.82,762,238
270.00,270.65,762,238
270.00,271.47,747,240
0.00,358.26,1713,240
0.00,359.05,1713,243
0.00,359.84,1713,241
0.00,0.62,1713,240
0.00,1.41,1713,243
180.00,178.18,1246,238
180.00,178.96,1246,240
180.00,179.75,1246,242
180.00,180.54,1246,226
180.00,181.33,700,226
270.00,268.70,763,238
270.00,269.53,763,240
270.00,270.37,763,239
270.00,271.22,763,238
0.00,1.30,14606,124
90.00,88.70,1963,237
90.00,89.49,1963,236
90.00,90.29,1963,235
90.00,91.08,1947,238
90.00,91.83,1947,238
270.00,268.61,763,240
270.00,269.39,763,238
270.00,270.14,763,238
270.00,270.96,763,237
270.00,271.78,763,239
0.00,358.27,1714,242
0.00,359.06,1714,242
0.00,359.85,1714,241
0.00,0.64,1714,243
0.00,1.43,1714,240
270.00,268.72,20244,109
270.00,270.64,2025,238
180.00,178.49,1246,241
180.00,179.28,1246,241
180.00,180.08,1246,240
180.00,180.87,1246,226
180.00,181.67,685,226
270.00,268.43,763,235
270.00,269.21,763,237
270.00,269.99,763,238
270.00,270.78,763,239
270.00,271.62,747,238
0.00,0.67,1823,231
90.00,88.26,1963,238
90.00,89.05,1947,235
90.00,89.83,1947,236
90.00,90.62,1947,238
90.00,91.41,1963,239
270.00,268.43,763,238
270.00,269.22,747,237
270.00,270.01,747,239
270.00,270.80,763,237
270.00,271.59,763,239
0.00,358.35,1713,239
0.00,359.17,1713,240
0.00,359.98,1713,242
0.00,0.80,1713,243
0.00,1.62,1713,240
180.00,178.41,1230,242
180.00,179.20,1246,240
180.00,179.99,1246,239
180.00,180.78,1246,223
180.00,181.56,669,227
270.00,268.35,763,239
270.00,269.14,763,238
270.00,269.93,763,237
270.00,270.72,763,237
270.00,271.55,747,237
90.00,88.61,1947,236
90.00,89.40,1947,238
90.00,90.19,1947,237
90.00,90.98,1947,237
90.00,91.78,1947,236
180.00,178.74,1246,241
180.00,179.53,1246,240
180.00,180.32,1246,239
180.00,181.11,716,231
180.00,181.91,576,224
0.00,358.06,1714,238
0.00,358.85,1714,243
0.00,359.70,1714,242
0.00,0.55,1714,242
0.00,1.40,1714,241
270.00,269.14,8462,40
180.00,178.60,1246,240
180.00,179.39,1246,240
180.00,180.18,1215,241
180.00,180.97,716,231
180.00,181.76,638,225
270.00,268.22,763,237
270.00,269.01,763,237
270.00,269.80,763,238
270.00,270.58,763,237
270.00,271.37,763,240
0.00,1.22,30478,125
90.00,88.64,1947,236
90.00,89.43,1947,236
90.00,90.21,1963,235
90.00,91.00,1947,236
90.00,91.79,1947,236
270.00,268.71,762,238
270.00,269.49,762,239
270.00,270.28,762,237
270.00,271.07,762,238
270.00,271.85,762,238
0.00,358.29,1713,242
0.00,359.06,1713,240
0.00,359.85,1713,240
0.00,0.66,1713,243
0.00,1.46,1713,240
180.00,178.16,1245,242
180.00,178.92,1245,241
180.00,179.73,1230,241
180.00,180.54,1245,234
180.00,181.34,684,229
270.00,268.25,762,236
270.00,269.05,747,238
270.00,269.84,762,238
270.00,270.64,762,239
270.00,271.43,762,237
90.00,89.38,1775,243
90.00,88.03,1947,235
90.00,88.82,1947,237
90.00,89.62,1947,236
90.00,90.41,1947,236
90.00,91.21,1947,237
90.00,92.00,1947,240
180.00,178.63,1245,242
180.00,179.42,1245,240
180.00,180.23,1230,238
180.00,181.04,716,232
180.00,181.84,575,223
0.00,358.04,1713,243
0.00,358.80,1713,242
0.00,359.57,1713,240
0.00,0.33,1713,243
0.00,1.12,1713,242
0.00,1.93,1713,243
90.00,88.73,1947,238
90.00,89.52,1947,237
90.00,90.31,1963,236
90.00,91.10,1947,237
90.00,91.89,1947,238
0.00,0.89,59653,12
270.00,268.76,762,238
270.00,269.55,747,240
270.00,270.34,762,237
270.00,271.13,762,237
270.00,271.92,762,238
0.00,358.31,1713,240
0.00,359.10,1713,242
0.00,359.88,1713,240
0.00,0.67,1713,243
0.00,1.50,1713,241
0.00,1.86,2041,237
180.00,178.02,1246,242
180.00,178.82,1246,241
180.00,179.63,1246,240
180.00,180.46,1246,237
180.00,181.27,701,235
270.00,268.63,763,237
270.00,269.42,747,240
270.00,270.21,763,238
270.00,271.00,763,240
270.00,271.79,763,238
90.00,89.63,21752,44
0.00,358.31,1760,239
0.00,1.28,1745,240
90.00,88.52,1947,237
90.00,89.31,1963,235
90.00,90.10,1947,236
90.00,90.89,1947,237
90.00,91.68,1963,235
180.00,178.43,62468,221
270.00,268.14,762,239
270.00,268.93,762,236
270.00,269.72,747,239
270.00,270.52,762,237
270.00,271.31,747,239
0.00,358.62,1713,240
0.00,359.41,1713,242
0.00,0.21,1713,242
0.00,1.00,1713,242
0.00,1.80,1713,242
180.00,178.71,1245,242
180.00,179.50,1245,241
180.00,180.29,1245,240
180.00,181.08,1245,229
180.00,181.87,715,228
180.00,179.09,59908,34
0.00,358.33,1713,240
0.00,359.12,1713,241
0.00,359.91,1713,242
0.00,0.70,1713,242
0.00,1.48,1713,243
90.00,88.28,1962,237
90.00,89.11,1947,236
90.00,89.84,1947,238
90.00,90.57,1947,237
90.00,91.31,1947,235
180.00,180.01,1729,230
270.00,268.44,1667,234
0.00,380.01,21069,45
0.00,412.04,46194,84
0.00,444.06,3628,14
0.00,476.09,21152,199
90.00,476.09,21152,199
0.00,508.12,61701,168
90.00,508.12,61701,168
0.00,540.15,60933,137
90.00,540.15,60933,137
180.00,540.15,60933,137
0.00,572.18,59909,106
90.00,572.18,59909,106
180.00,572.18,59909,106
0.00,604.21,59909,75
90.00,604.21,59909,75
180.00,604.21,59909,75
0.00,358.66,1713,240
0.00,359.45,1713,241
0.00,0.24,1713,241
0.00,1.03,1713,243
0.00,1.82,1713,243
90.00,88.25,1962,235
90.00,89.06,1947,236
90.00,89.81,1947,237
180.00,179.94,1947,237
270.00,270.07,61192,133
0.00,0.20,30509,114
180.00,178.43,1246,241
180.00,179.23,1246,239
180.00,180.02,1246,241
180.00,180.81,716,231
180.00,181.61,638,223
270.00,268.05,763,240
270.00,268.81,747,237
270.00,269.66,763,238
270.00,270.50,763,235
270.00,271.35,763,237
0.00,1.01,1760,238
90.00,88.44,1963,237
90.00,89.22,1947,235
90.00,90.00,1947,235
90.00,90.79,1947,238
90.00,91.55,1963,239
180.00,178.76,1245,242
180.00,179.55,1230,242
180.00,180.35,1245,238
180.00,181.14,716,235
180.00,181.93,560,226
270.00,271.83,794,238
0.00,358.23,1713,242
0.00,359.02,1713,241
0.00,359.81,1713,241
0.00,0.61,1713,245
0.00,1.40,1713,243
90.00,88.48,1947,237
90.00,89.25,1947,236
90.00,90.03,1947,235
90.00,90.82,1947,235
90.00,91.60,1947,237
180.00,181.19,10611,84
270.00,268.65,762,238
270.00,269.45,762,238
270.00,270.28,762,236
270.00,271.08,762,235
270.00,271.88,762,236
180.00,178.19,61958,177
90.00,88.49,1962,240
90.00,89.29,1962,237
90.00,90.08,1962,237
90.00,90.87,1947,237
90.00,91.66,1962,237
180.00,178.46,1230,243
180.00,179.25,1245,242
180.00,180.04,1230,242
180.00,180.83,1245,237
180.00,181.62,715,233
270.00,271.74,794,238
0.00,358.73,1713,241
0.00,359.52,1713,240
0.00,0.31,1713,243
0.00,1.10,1713,243
0.00,1.90,1713,241
90.00,88.04,1962,234
90.00,88.83,1947,238
90.00,89.62,1947,238
90.00,90.42,1947,238
90.00,91.21,1947,239
90.00,91.97,1947,237
180.00,180.52,1962,238
270.00,269.08,1962,239
180.00,178.74,1355,241
270.00,268.22,762,239
270.00,269.02,762,236
270.00,269.83,747,237
270.00,270.64,762,235
270.00,271.39,762,237
180.00,180.36,59654,208
90.00,88.16,1962,235
90.00,88.95,1962,236
90.00,89.74,1947,235
90.00,90.53,1947,236
90.00,91.32,1947,238
180.00,178.48,1246,239
180.00,179.27,1246,240
180.00,180.06,1230,241
180.00,180.85,716,228
180.00,181.65,685,225
0.00,358.78,1698,242
0.00,359.61,1713,243
0.00,0.44,1698,240
0.00,1.27,1713,241
270.00,269.47,25102,40
180.00,178.67,1245,243
180.00,179.46,1230,241
180.00,180.24,1230,238
180.00,181.03,716,233
180.00,181.82,607,224
270.00,268.10,762,238
270.00,268.89,747,239
270.00,269.68,762,238
270.00,270.47,762,236
270.00,271.26,762,236
90.00,88.76,1947,237
90.00,89.56,1947,238
90.00,90.35,1962,236
90.00,91.15,1947,237
90.00,91.94,1947,237
180.00,178.66,1245,241
180.00,179.45,1245,242
180.00,180.24,1214,239
180.00,181.03,715,230
180.00,181.82,638,223
0.00,0.20,778,237
0.00,358.53,1713,241
0.00,359.32,1713,241
0.00,0.11,1697,242
0.00,0.90,1713,242
0.00,1.69,1713,244
270.00,271.17,1994,237
180.00,178.82,1245,241
180.00,179.61,1230,240
180.00,180.40,1214,240
180.00,181.19,716,232
180.00,181.98,607,224
270.00,268.42,747,237
270.00,269.21,762,239
270.00,270.00,747,236
270.00,270.79,762,236
270.00,271.58,762,236
90.00,88.41,1962,238
90.00,89.21,1947,238
90.00,90.00,1947,237
90.00,90.80,1947,238
90.00,91.59,1947,238
180.00,178.01,1245,243
180.00,178.80,1245,241
180.00,179.59,1245,242
180.00,180.38,1230,243
180.00,181.17,1245,228
180.00,181.96,716,226
270.00,268.27,762,238
270.00,269.06,762,238
270.00,269.86,762,240
270.00,270.65,762,235
270.00,271.44,762,237
0.00,358.63,1713,240
0.00,359.42,1713,241
0.00,0.21,1713,243
0.00,1.00,1713,243
0.00,1.79,1713,242
180.00,178.07,1246,241
180.00,178.86,1246,241
180.00,179.66,1246,242
180.00,180.45,1246,238
180.00,181.25,716,232
270.00,268.38,762,237
270.00,269.17,762,238
270.00,269.96,762,236
270.00,270.75,762,232
270.00,271.54,762,238
90.00,91.17,61959,255
90.00,88.65,1947,236
90.00,89.44,1962,237
90.00,90.23,1947,237
90.00,91.02,1962,238
90.00,91.81,1962,238
180.00,178.23,1245,243
180.00,179.02,1245,242
180.00,179.82,1245,240
180.00,180.61,1214,237
180.00,181.40,715,231
270.00,271.64,60675,119
0.00,358.67,793,238
90.00,89.35,5097,4
0.00,358.68,1713,241
0.00,359.47,1713,241
0.00,0.26,1713,241
0.00,1.05,1697,243
0.00,1.84,1713,243
90.00,88.26,1962,236
90.00,89.05,1962,238
90.00,89.83,1947,238
90.00,90.62,1962,237
90.00,91.41,1947,235
270.00,268.06,762,237
270.00,268.86,762,238
270.00,269.68,762,240
270.00,270.51,762,236
270.00,271.34,762,236
0.00,358.06,1713,240
0.00,358.85,1713,240
0.00,359.63,1713,242
0.00,0.42,1713,243
0.00,1.21,1713,242
0.00,2.00,1713,243
90.00,91.42,1946,233
270.00,270.35,2009,236
180.00,178.46,1245,243
180.00,179.25,1245,239
180.00,180.04,1245,242
180.00,180.83,731,226
180.00,181.62,653,225
270.00,268.04,762,237
270.00,268.86,747,238
270.00,269.68,762,238
270.00,270.44,762,236
270.00,271.29,762,236
0.00,1.58,662,104
0.00,0.13,1791,241
90.00,88.16,1962,238
90.00,88.96,1947,234
90.00,89.75,1947,236
90.00,90.55,1947,238
90.00,91.34,1962,236
180.00,178.66,1230,241
180.00,179.45,1245,240
180.00,180.25,1245,241
180.00,181.04,715,227
180.00,181.84,638,223
270.00,271.29,47345,5
0.00,358.22,1713,241
0.00,359.03,1713,240
0.00,359.84,1713,241
0.00,0.65,1713,243
0.00,1.46,1713,243
180.00,178.47,1245,242
180.00,179.26,1245,241
180.00,180.05,1245,240
180.00,180.84,1245,223
180.00,181.62,638,224
270.00,268.38,762,237
270.00,269.16,747,238
270.00,269.95,762,241
270.00,270.73,762,235
270.00,271.52,762,235
0.00,359.94,30432,132
90.00,88.54,1962,236
90.00,89.33,1947,237
90.00,90.12,1962,235
90.00,90.90,1947,239
90.00,91.69,1962,238
180.00,178.38,1245,243
180.00,179.16,1245,240
180.00,179.95,1245,241
180.00,180.74,1245,223
180.00,181.53,700,225
0.00,358.16,1713,242
0.00,358.91,1713,241
0.00,359.70,1713,239
