tempo_us,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,angle,distance,intensity,tof_mm,flow_dx,flow_dy
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,436,46319,180,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,5935,61185,208,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,11434,21505,209,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,16934,61996,233,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,22433,697,237,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,27933,60897,84,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,33432,4140,220,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,2932,4141,194,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,8431,12588,238,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,13931,1165,233,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,19430,60735,165,91,0,0
11411414,-133,-3937,16030,-9,-92,-192,-601,-3441,16027,-41,-542,-472,24930,5950,248,91,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,7760,60939,30,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,7076,61698,2,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,6392,11348,12,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,5708,8429,4,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,5023,44269,4,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,4339,59872,224,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,3655,57615,77,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,2971,30188,240,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,2286,776,240,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,1602,62200,0,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,918,42223,1,99,0,0
11530614,-63,-3916,16080,-19,-126,-169,-514,-3449,16083,-55,-552,-447,233,89,190,99,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,23684,391,231,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,23508,30177,3,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,23332,10719,221,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,23155,2131,201,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,22979,61441,235,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,22802,776,236,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,22626,22250,3,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,22449,30696,222,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,22273,60175,184,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,22096,3877,232,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,21920,2303,227,98,0,0
11608140,26,-3932,16041,12,-82,-202,-340,-3492,16069,-81,-528,-468,21743,57891,3,98,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,22192,56828,30,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,22565,56848,84,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,22938,1836,232,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,23312,1819,230,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,23685,1632,141,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,24058,49903,3,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,24432,61934,148,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,24805,61955,38,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,25178,1005,236,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,25552,7,234,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,25925,53894,0,97,0,0
11746061,117,-3911,16055,-9,-153,-144,-502,-3380,16156,-69,-569,-433,26299,49022,0,97,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,436,11959,207,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,2373,11758,2,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,4310,19694,235,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,6247,60932,63,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,8185,28932,27,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,10122,4059,232,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,12059,23567,9,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,13996,46561,5,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,15934,61187,42,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,17871,824,241,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,19808,884,237,96,0,0
11818927,-163,-3938,16090,13,-104,-195,-586,-3417,16115,-54,-540,-447,21746,24202,0,96,0,0
11932164,-30,-3919,16029,5,-133,-176,-489,-3419,16117,-53,-557,-434,28038,60695,219,98,0,0
11932164,-30,-3919,16029,5,-133,-176,-489,-3419,16117,-53,-557,-434,1628,60420,5,98,0,0
